date,state,district,pincode,age_0_5,age_5_17,age_18_greater,demo_age_5_17,demo_age_17_,bio_age_5_17,bio_age_17_
2025-03-15,Bihar,Sitamarhi,843324,22,89,44,0,0,0,0
2025-03-15,Assam,Kokrajhar,783360,25,23,10,0,0,0,0
2025-03-15,Delhi,North West Delhi,110086,35,15,10,0,0,0,0
2025-03-15,Uttar Pradesh,Agra,282001,38,123,21,0,0,0,0
2025-03-15,Meghalaya,West Jaintia Hills,793150,92,17,30,0,0,0,0
2025-03-15,Uttar Pradesh,Agra,282010,10,49,19,0,0,0,0
2025-03-15,Uttar Pradesh,Ghaziabad,201002,13,57,19,0,0,0,0
2025-03-15,Bihar,Madhubani,847421,15,54,15,0,0,0,0
2025-03-15,Uttar Pradesh,Unnao,209801,17,95,18,0,0,0,0
2025-03-15,Bihar,Sitamarhi,843331,20,28,15,0,0,0,0
2025-03-15,Uttar Pradesh,Saharanpur,247001,91,152,10,0,0,0,0
2025-03-20,Assam,Dibrugarh,786602,10,12,14,0,0,0,0
2025-03-20,Assam,Udalguri,784509,10,46,34,0,0,0,0
2025-03-20,Assam,Chirang,783390,12,29,15,0,0,0,0
2025-03-20,Assam,Kamrup,781354,13,20,13,0,0,0,0
2025-03-20,Assam,Dhubri,783331,15,51,12,0,0,0,0
2025-03-20,Uttar Pradesh,Jaunpur,222001,19,103,29,0,0,0,0
2025-03-20,Maharashtra,Thane,421503,19,13,15,0,0,0,0
2025-03-20,Karnataka,Bengaluru Urban,560037,20,16,17,0,0,0,0
2025-03-20,Assam,Dhemaji,787057,20,46,19,0,0,0,0
2025-03-20,Uttar Pradesh,Agra,283125,25,29,12,0,0,0,0
2025-03-20,Assam,Kokrajhar,783360,32,75,29,0,0,0,0
2025-03-20,Gujarat,Banas Kantha,385545,37,11,15,0,0,0,0
2025-03-20,Bihar,Sitamarhi,843324,41,55,30,0,0,0,0
2025-03-20,Karnataka,Bengaluru Urban,560068,56,20,16,0,0,0,0
2025-03-20,Uttar Pradesh,Firozabad,283203,65,51,11,0,0,0,0
2025-03-20,Madhya Pradesh,Gwalior,474001,73,25,18,0,0,0,0
2025-03-20,Uttar Pradesh,Agra,282001,96,125,11,0,0,0,0
2025-03-20,Maharashtra,Aurangabad,431001,134,38,18,0,0,0,0
2025-03-20,Assam,Dhubri,783348,11,115,37,0,0,0,0
2025-03-20,Assam,Tinsukia,786156,12,32,21,0,0,0,0
2025-03-20,Andhra Pradesh,Spsr Nellore,524311,15,19,17,0,0,0,0
2025-03-20,Karnataka,Bengaluru Urban,560035,16,10,13,0,0,0,0
2025-03-20,Uttar Pradesh,Unnao,209821,17,41,15,0,0,0,0
2025-03-20,Assam,Marigaon,782104,20,58,10,0,0,0,0
2025-03-20,Assam,Barpeta,783101,24,34,10,0,0,0,0
2025-03-20,Assam,Kokrajhar,783350,24,55,23,0,0,0,0
2025-03-20,Karnataka,Bengaluru Urban,560036,28,12,13,0,0,0,0
2025-03-20,Assam,Dhubri,783334,31,37,25,0,0,0,0
2025-03-20,Gujarat,Banas Kantha,385310,78,32,13,0,0,0,0
2025-03-20,Bihar,Sitamarhi,843330,10,12,19,0,0,0,0
2025-03-20,Assam,Sonitpur,784110,10,28,43,0,0,0,0
2025-03-20,Assam,Baksa,781366,11,14,13,0,0,0,0
2025-03-20,Assam,Tinsukia,786152,18,25,11,0,0,0,0
2025-03-20,Assam,Tinsukia,786151,19,24,19,0,0,0,0
2025-03-20,Uttar Pradesh,Bahraich,271855,20,62,13,0,0,0,0
2025-03-20,Gujarat,Banas Kantha,385330,47,11,25,0,0,0,0
2025-03-20,Karnataka,Bengaluru Urban,560043,49,16,28,0,0,0,0
2025-03-20,Punjab,Ludhiana,141007,104,13,14,0,0,0,0
2025-03-20,Gujarat,Patan,384265,118,14,11,0,0,0,0
